ticker,score
V,2.829870649744625
ETN,1.9508535597657026
FCFS,1.9023435069752417
ADBE,1.9023435069752417
CRS,1.9023435069752417
AMKR,1.9023435069752417
APG,1.9023435069752417
MCK,1.9023435069752417
MPWR,1.9023435069752417
C,1.9023435069752417
CAT,1.8763916415634354
MSFT,1.8260772437800037
AMZN,1.8028350470413326
LLY,1.8028350470413326
AAPL,1.7616061417275692
XLP,1.0567990483153782
XLU,1.0567990483153782
XLV,1.0567990483153782
PYPL,0.9923279462629435
RNWGX,0.9923279462629435
TPYP,0.9923279462629435
VNQI,0.9923279462629435
MBB,0.9923279462629435
LITP,0.9923279462629435
JMBS,0.9923279462629435
IVV,0.9923279462629435
GIGB,0.9923279462629435
GEM,0.9923279462629435
FTGC,0.9923279462629435
NFLX,0.9923279462629435
XOM,0.9923279462629435
EIPI,0.9923279462629435
CMBS,0.9923279462629435
DXCM,0.9923279462629435
DIS,0.9923279462629435
CVS,0.9923279462629435
UBER,0.958525613502759
VSEC,0.9511717534876208
EOG,0.9187713517408406
HON,0.9187713517408406
UPS,0.9187713517408406
WMT,0.9187713517408406
SWK,0.8977865850653692
WPC,0.8977865850653692
HLT,0.8840636953004919
KO,0.8840636953004919
RTX,0.8840636953004919
AMAT,0.8840636953004919
NOW,0.8840636953004919
AXP,0.8840636953004919
COF,0.8840636953004919
META,0.8840636953004919
ELV,0.8840636953004919
COP,0.8840636953004919
MA,0.8840636953004919
COST,0.8840636953004919
IQV,0.8840636953004919
DE,0.8840636953004919
ICE,0.8840636953004919
INTU,0.8840636953004919
ISRG,0.8840636953004919
CRM,0.8840636953004919
CVX,0.8840636953004919
WFC,0.8739093576895269
ANET,0.8739093576895269
IJR,0.8739093576895269
SPYM,0.8739093576895269
JPM,0.8733880864278225
VZ,0.8539492403742903
BSCQ,0.8506671609508557
LRN,0.15452479159618782
TBLL,0.11841858857341658
BSX,0.010154337610964959
SMCI,0.0
UNH,0.0
GOOG,0.0
HD,-0.06710805818712895
NVDA,-0.09950845993390922
LRCX,-0.10826425096245162
IVW,-0.11841858857341658
IBDQ,-0.8506671609508557
K,-0.8506671609508557
BSCP,-0.8506671609508557
INTC,-0.8539492403742903
GS,-0.863755020078562
MSI,-0.8739093576895269
KRE,-0.8739093576895269
LAZR,-0.8739093576895269
CMCSA,-0.9187713517408406
MCD,-0.9511717534876208
TJX,-0.958525613502759
LOW,-0.958525613502759
UNP,-0.9923279462629435
MDY,-0.9923279462629435
IWM,-0.9923279462629435
FISV,-0.9923279462629435
GOOGL,-1.023402513965742
FWONK,-1.7013343219017114
CRDO,-1.7478187153790539
AIT,-1.7478187153790539
DELL,-1.7478187153790539
IRM,-1.7478187153790539
COHR,-1.7478187153790539
MTZ,-1.7478187153790539
PALL,-1.8662373039524704
PPLT,-1.8662373039524704
SLV,-1.8662373039524704
MU,-1.984655892525887
OMC,-1.984655892525887
PRMB,-2.6217280730685806
SBUX,-2.8571851108856583
